Year,Date,Month,AQI
2023,14,Dec,214
2023,15,Dec,NA 
2023,16,Dec,NA 
2023,17,Dec,NA 
2023,18,Dec,NA 
2023,19,Dec,77
2023,20,Dec,83
2023,21,Dec,104
2023,22,Dec,NA 
2023,23,Dec,NA 
2023,24,Dec,93
2023,25,Dec,81
2023,26,Dec,96
2023,27,Dec,124
2023,28,Dec,NA 
2023,29,Dec,NA 
2023,30,Dec,NA 
2023,31,Dec,113
